stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s51i009,51,9,192,,,PLEV39,ch4,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4)
* m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i999,51,999,192,,,PLEV39,ch4,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4)
* m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i992,51,992,192,,,PLEV39,hcl,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HCL)
* m01s51i992[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i999,51,999,192,,,PLEV39,hcl,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HCL)
* m01s51i992[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i007,51,7,192,,,PLEV39,hno3,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HNO3)
* m01s51i007[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i999,51,999,192,,,PLEV39,hno3,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HNO3)
* m01s51i007[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i049,51,49,192,,,PLEV39,n2o,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O)
* m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i999,51,999,192,,,PLEV39,n2o,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O)
* m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i001,51,1,192,,,PLEV39,o3,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3)
* m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i999,51,999,192,,,PLEV39,o3,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3)
* m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
