stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s16i222,16,222,128,,,,psl,Amon,True,1,Pa,ok,m01s16i222[lbproc=128],HadGEM3_mappings.cfg
m01s16i222,16,222,128,,,,psl,day,True,1,Pa,ok,m01s16i222[lbproc=128],HadGEM3_mappings.cfg
m01s16i222,16,222,128,,,,psl,APmon,True,1,Pa,ok,m01s16i222[lbproc=128],HadGEM3_mappings.cfg
m01s16i222,16,222,128,,,,psl,AP6hr,True,1,Pa,ok,m01s16i222[lbproc=128],HadGEM3_mappings.cfg
m01s16i222,16,222,128,,,,psl,APday,True,1,Pa,ok,m01s16i222[lbproc=128],HadGEM3_mappings.cfg
m01s30i451,30,451,128,,,,ptp,AERmon,True,1,Pa,ok,m01s30i451[lbproc=128],HadGEM3_mappings.cfg
m01s30i451,30,451,128,,,,ptp,AEmon,True,1,Pa,ok,m01s30i451[lbproc=128],HadGEM3_mappings.cfg
m01s02i218,2,218,128,,,,rld,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i218[lbproc=128]),HadGEM3_mappings.cfg
m01s02i218,2,218,128,,,,rld,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i218[lbproc=128]),HadGEM3_mappings.cfg
m01s02i522,2,522,128,,,,rld4co2,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i522[lbproc=128]),HadGEM3_mappings.cfg
m01s02i522,2,522,128,,,,rld4co2,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i522[lbproc=128]),HadGEM3_mappings.cfg
m01s02i220,2,220,128,,,,rldcs,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i220[lbproc=128]),HadGEM3_mappings.cfg
m01s02i220,2,220,128,,,,rldcs,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i220[lbproc=128]),HadGEM3_mappings.cfg
m01s02i524,2,524,128,,,,rldcs4co2,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i524[lbproc=128]),HadGEM3_mappings.cfg
m01s02i524,2,524,128,,,,rldcs4co2,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s02i524[lbproc=128]),HadGEM3_mappings.cfg
m01s02i207,2,207,128,,,,rlds,Amon,True,1,W m-2,ok,m01s02i207[lbproc=128],HadGEM3_mappings.cfg
m01s02i207,2,207,128,,,,rlds,3hr,True,1,W m-2,ok,m01s02i207[lbproc=128],HadGEM3_mappings.cfg
m01s02i207,2,207,128,,,,rlds,day,True,1,W m-2,ok,m01s02i207[lbproc=128],HadGEM3_mappings.cfg
m01s02i207,2,207,128,,,,rlds,APmon,True,1,W m-2,ok,m01s02i207[lbproc=128],HadGEM3_mappings.cfg
m01s02i207,2,207,128,,,,rlds,AP3hr,True,1,W m-2,ok,m01s02i207[lbproc=128],HadGEM3_mappings.cfg
m01s02i207,2,207,128,,,,rlds,APday,True,1,W m-2,ok,m01s02i207[lbproc=128],HadGEM3_mappings.cfg
m01s02i208,2,208,128,,,,rldscs,Amon,True,1,W m-2,ok,m01s02i208[lbproc=128],HadGEM3_mappings.cfg
m01s02i208,2,208,128,,,,rldscs,3hr,True,1,W m-2,ok,m01s02i208[lbproc=128],HadGEM3_mappings.cfg
m01s02i208,2,208,128,,,,rldscs,CFday,True,1,W m-2,ok,m01s02i208[lbproc=128],HadGEM3_mappings.cfg
m01s02i208,2,208,128,,,,rldscs,APmon,True,1,W m-2,ok,m01s02i208[lbproc=128],HadGEM3_mappings.cfg
m01s02i208,2,208,128,,,,rldscs,AP3hr,True,1,W m-2,ok,m01s02i208[lbproc=128],HadGEM3_mappings.cfg
m01s02i208,2,208,128,,,,rldscs,APday,True,1,W m-2,ok,m01s02i208[lbproc=128],HadGEM3_mappings.cfg
m01s03i332,3,332,128,,,,rlut,Amon,True,1,W m-2,ok,m01s03i332[lbproc=128],HadGEM3_mappings.cfg
m01s03i332,3,332,128,,,,rlut,day,True,1,W m-2,ok,m01s03i332[lbproc=128],HadGEM3_mappings.cfg
m01s03i332,3,332,128,,,,rlut,APmon,True,1,W m-2,ok,m01s03i332[lbproc=128],HadGEM3_mappings.cfg
m01s03i332,3,332,128,,,,rlut,APday,True,1,W m-2,ok,m01s03i332[lbproc=128],HadGEM3_mappings.cfg
m01s01i218,1,218,128,,,,rsd,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i218[lbproc=128]),HadGEM3_mappings.cfg
m01s01i218,1,218,128,,,,rsd,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i218[lbproc=128]),HadGEM3_mappings.cfg
m01s01i522,1,522,128,,,,rsd4co2,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i522[lbproc=128]),HadGEM3_mappings.cfg
m01s01i522,1,522,128,,,,rsd4co2,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i522[lbproc=128]),HadGEM3_mappings.cfg
m01s01i220,1,220,128,,,,rsdcs,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i220[lbproc=128]),HadGEM3_mappings.cfg
m01s01i220,1,220,128,,,,rsdcs,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i220[lbproc=128]),HadGEM3_mappings.cfg
m01s01i524,1,524,128,,,,rsdcs4co2,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i524[lbproc=128]),HadGEM3_mappings.cfg
m01s01i524,1,524,128,,,,rsdcs4co2,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i524[lbproc=128]),HadGEM3_mappings.cfg
m01s01i520,1,520,0,,,,rsdcsaf,E3hrPt,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i520[lbproc=0]),HadGEM3_mappings.cfg
m01s01i520,1,520,0,,,,rsdcsaf,AE3hrPtLev,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i520[lbproc=0]),HadGEM3_mappings.cfg
m01s01i528,1,528,0,,,,rsdcsafbnd,E3hrPt,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i528[lbproc=0]),HadGEM3_mappings.cfg
m01s01i528,1,528,0,,,,rsdcsafbnd,AE3hrPtLev,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i528[lbproc=0]),HadGEM3_mappings.cfg
m01s01i512,1,512,0,,,,rsdcsbnd,E3hrPt,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i512[lbproc=0]),HadGEM3_mappings.cfg
m01s01i512,1,512,0,,,,rsdcsbnd,AP3hrPtLev,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i512[lbproc=0]),HadGEM3_mappings.cfg
m01s01i235,1,235,128,,,,rsds,Amon,True,1,W m-2,ok,m01s01i235[lbproc=128],HadGEM3_mappings.cfg
m01s01i235,1,235,128,,,,rsds,3hr,True,1,W m-2,ok,m01s01i235[lbproc=128],HadGEM3_mappings.cfg
m01s01i235,1,235,128,,,,rsds,day,True,1,W m-2,ok,m01s01i235[lbproc=128],HadGEM3_mappings.cfg
m01s01i235,1,235,128,,,,rsds,APmon,True,1,W m-2,ok,m01s01i235[lbproc=128],HadGEM3_mappings.cfg
m01s01i235,1,235,128,,,,rsds,AP3hr,True,1,W m-2,ok,m01s01i235[lbproc=128],HadGEM3_mappings.cfg
m01s01i235,1,235,128,,,,rsds,APday,True,1,W m-2,ok,m01s01i235[lbproc=128],HadGEM3_mappings.cfg
m01s01i210,1,210,128,,,,rsdscs,Amon,True,1,W m-2,ok,m01s01i210[lbproc=128],HadGEM3_mappings.cfg
m01s01i210,1,210,128,,,,rsdscs,3hr,True,1,W m-2,ok,m01s01i210[lbproc=128],HadGEM3_mappings.cfg
m01s01i210,1,210,128,,,,rsdscs,CFday,True,1,W m-2,ok,m01s01i210[lbproc=128],HadGEM3_mappings.cfg
m01s01i210,1,210,128,,,,rsdscs,APmon,True,1,W m-2,ok,m01s01i210[lbproc=128],HadGEM3_mappings.cfg
m01s01i210,1,210,128,,,,rsdscs,AP3hr,True,1,W m-2,ok,m01s01i210[lbproc=128],HadGEM3_mappings.cfg
m01s01i210,1,210,128,,,,rsdscs,APday,True,1,W m-2,ok,m01s01i210[lbproc=128],HadGEM3_mappings.cfg
